iter	Passed	Remaining
206	292	1121
207	293	1117
208	294	1113
209	294	1108
210	295	1104
211	295	1099
212	296	1094
213	296	1090
214	297	1086
215	298	1082
216	298	1078
217	299	1074
218	300	1070
219	300	1066
220	301	1062
221	302	1059
222	303	1056
223	303	1052
224	304	1048
225	305	1044
226	305	1040
227	306	1036
228	306	1032
229	307	1029
230	308	1025
231	308	1021
232	309	1018
233	309	1014
234	310	1010
235	311	1006
236	311	1003
237	312	999
238	312	995
239	313	992
240	313	988
241	314	985
242	315	983
243	316	980
244	317	977
245	317	973
246	318	970
247	318	966
248	319	963
249	319	959
250	320	956
251	321	953
252	321	950
253	322	947
254	323	943
255	323	940
256	324	937
257	324	934
258	325	931
259	326	928
260	326	925
261	327	922
262	328	919
263	328	916
264	329	914
265	330	911
266	330	908
267	331	905
268	332	902
269	332	899
270	333	896
271	333	893
272	334	890
273	335	887
274	335	884
275	336	881
276	336	878
277	337	875
278	337	873
279	338	870
280	338	867
281	339	864
282	340	861
283	340	859
284	341	856
285	342	854
286	343	852
287	343	850
288	344	847
289	345	845
290	345	842
291	346	839
292	346	836
293	347	834
294	347	831
295	348	829
296	349	826
297	349	823
298	350	821
299	350	818
300	351	816
301	352	813
302	352	811
303	353	809
304	354	806
305	354	804
306	355	803
307	356	800
308	357	798
309	357	796
310	358	794
311	359	791
312	359	789
313	360	787
314	360	784
315	361	782
316	362	780
317	362	778
318	363	775
319	363	773
320	364	771
321	365	768
322	365	766
323	366	764
324	367	762
325	368	761
326	368	759
327	369	757
328	370	754
329	370	752
330	371	750
331	371	748
332	372	746
333	373	743
334	373	741
335	374	739
336	374	737
337	375	734
338	375	732
339	376	730
340	377	728
341	377	726
342	378	724
343	378	722
344	379	720
345	380	719
346	381	717
347	381	715
348	382	713
349	383	711
350	383	709
351	384	707
352	384	705
353	385	703
354	386	701
355	386	699
356	387	697
357	387	695
358	388	693
359	389	691
360	389	689
361	390	687
362	390	685
363	391	684
364	392	682
365	393	680
366	393	679
367	394	677
368	395	676
369	396	674
370	396	672
371	397	670
372	397	668
373	398	667
374	399	665
375	399	663
376	400	661
377	401	660
378	401	658
379	402	656
380	403	655
381	403	653
382	404	652
383	405	650
384	406	648
385	406	647
386	407	645
387	408	644
388	409	642
389	409	640
390	410	639
391	410	637
392	411	635
393	412	633
394	412	632
395	413	630
396	413	628
397	414	626
398	415	625
399	415	623
400	416	621
401	416	620
402	417	618
403	418	617
404	419	615
405	420	614
406	420	613
407	421	611
408	421	609
409	422	607
410	423	606
411	423	604
412	424	602
413	424	601
414	425	599
415	426	598
416	426	596
417	427	595
418	428	593
419	428	591
420	429	590
421	430	589
422	430	587
423	431	586
424	432	585
425	433	583
426	433	582
427	434	580
428	434	578
429	435	577
430	436	575
431	436	574
432	437	572
433	437	571
434	438	569
435	439	567
436	439	566
437	440	564
438	440	563
439	441	561
440	442	560
441	442	558
442	443	557
443	444	556
444	444	554
445	445	553
446	446	552
447	447	550
448	447	549
449	448	547
450	448	546
451	449	544
452	449	543
453	450	541
454	451	540
455	451	538
456	452	537
457	452	535
458	453	534
459	454	533
460	454	531
461	455	530
462	455	528
463	456	527
464	457	526
465	458	525
466	459	523
467	459	522
468	460	521
469	460	519
470	461	518
471	462	517
472	462	515
473	463	514
474	463	512
475	464	511
476	465	509
477	465	508
478	466	507
479	466	505
480	467	504
481	467	502
482	468	501
483	469	500
484	470	499
485	470	497
486	471	496
487	472	495
488	472	494
489	473	492
490	474	491
